Year,Event,Category,Description
1948,Berlin Blockade,Trade/Infrastructure,Soviet Union blockades West Berlin; Western airlift response
1960,Cuban Embargo,Trade Sanctions,U.S. imposes comprehensive embargo on Cuba (ongoing)
1973,Arab Oil Embargo,Energy,OPEC oil embargo against Western supporters of Israel
1980,Soviet Grain Embargo,Trade Sanctions,U.S. embargo on grain exports to USSR after Afghanistan invasion
1986,South Africa Sanctions,Comprehensive,Multilateral sanctions against apartheid South Africa
1990,Iraq Sanctions,Comprehensive,UN sanctions following Kuwait invasion
1996,Iran Libya Sanctions Act,Extraterritorial,U.S. secondary sanctions on energy sector investments
2001,Post-9/11 Terrorist Financing,Financial,Expansion of financial sanctions architecture
2006,North Korea Nuclear Sanctions,Financial/Trade,Sanctions targeting North Korea's nuclear program
2010,Iran Nuclear Sanctions,Financial,Comprehensive financial sanctions; SWIFT cutoff (2012)
2014,Russia-Crimea Sanctions,Sectoral,Western sanctions after Crimea annexation
2017,Venezuela Sanctions,Financial/Oil,U.S. sanctions on Venezuelan oil and government
2018,U.S.-China Trade War,Tariffs,Massive tariff escalation; 25% on $370B goods
2018,CFIUS Expansion (FIRRMA),Investment Screening,Tightened foreign investment screening for national security
2019,Huawei Entity List,Technology,Export controls on semiconductors and software to Huawei
2020,Hong Kong Sanctions,Financial,U.S./UK sanctions over national security law
2021,Afghanistan Asset Freeze,Financial,$7B in Afghan central bank reserves frozen
2022,Russia SWIFT Cutoff,Financial,Unprecedented exclusion of major economy from SWIFT
2022,Semiconductor Export Controls,Technology,Sweeping controls on advanced chips to China
2023,China Critical Minerals Export Controls,Strategic Resources,China restricts gallium and germanium exports
2024,U.S. Outbound Investment Screening,Investment,New restrictions on U.S. investment in Chinese technology
